donor_id,hub_id,warehouse_id,program_id,commodity_id,commodity_category_id,quantity
33,1,13,1,1,2,18027.9
1,1,13,1,1,2,900
33,2,12,1,1,2,16009.85
1,2,12,1,1,2,1313.5
33,3,2,1,1,2,6984.4
33,11,6,1,1,2,9181.7
33,1,13,1,2,3,13962.26
1,1,13,1,2,3,3773.5
33,2,12,1,2,3,246.7
33,3,2,1,2,3,549.35
1,3,2,1,2,3,1458.25
33,11,6,1,2,3,48
33,1,13,1,8,4,6193.99
33,2,12,1,8,4,1050.25
33,3,2,1,8,4,241.27
33,11,6,1,8,4,16.25
33,1,13,1,25,5,232.76
33,2,12,1,25,5,285.65
33,3,2,1,25,5,1.93
33,11,6,1,25,5,77
